char,minx,maxx,miny,maxy,text_id,page
n,233.21,238.77,614.8259999999999,624.8259999999999,6,0
d,238.77,244.33,614.8259999999999,624.8259999999999,6,0
 ,244.33,247.11,614.8259999999999,624.8259999999999,6,0
m,247.11,255.44000000000003,614.8259999999999,624.8259999999999,6,0
o,255.44000000000003,261.0,614.8259999999999,624.8259999999999,6,0
r,261.0,264.33,614.8259999999999,624.8259999999999,6,0
e,264.33000000000004,269.89000000000004,614.8259999999999,624.8259999999999,6,0
 ,269.89000000000004,272.67,614.8259999999999,624.8259999999999,6,0
t,272.6700000000001,275.45000000000005,614.8259999999999,624.8259999999999,6,0
e,275.45000000000005,281.01000000000005,614.8259999999999,624.8259999999999,6,0
x,281.01000000000005,286.01000000000005,614.8259999999999,624.8259999999999,6,0
t,286.01000000000005,288.79,614.8259999999999,624.8259999999999,6,0
.,288.7900000000001,291.57000000000005,614.8259999999999,624.8259999999999,6,0
 ,291.57000000000005,294.35,614.8259999999999,624.8259999999999,6,0
A,294.35,301.02000000000004,614.8259999999999,624.8259999999999,6,0
n,301.02000000000004,306.58000000000004,614.8259999999999,624.8259999999999,6,0
d,306.58000000000004,312.14000000000004,614.8259999999999,624.8259999999999,6,0
 ,312.14000000000004,314.92,614.8259999999999,624.8259999999999,6,0
m,314.9200000000001,323.25000000000006,614.8259999999999,624.8259999999999,6,0
o,323.25000000000006,328.81000000000006,614.8259999999999,624.8259999999999,6,0
r,328.81000000000006,332.14000000000004,614.8259999999999,624.8259999999999,6,0
e,332.14000000000004,337.70000000000005,614.8259999999999,624.8259999999999,6,0
 ,337.70000000000005,340.48,614.8259999999999,624.8259999999999,6,0
t,340.48,343.26,614.8259999999999,624.8259999999999,6,0
e,343.26,348.82,614.8259999999999,624.8259999999999,6,0
x,348.82,353.82,614.8259999999999,624.8259999999999,6,0
t,353.82,356.59999999999997,614.8259999999999,624.8259999999999,6,0
.,356.59999999999997,359.37999999999994,614.8259999999999,624.8259999999999,6,0
 ,359.37999999999994,362.1599999999999,614.8259999999999,624.8259999999999,6,0
A,362.1599999999999,368.8299999999999,614.8259999999999,624.8259999999999,6,0
n,368.8299999999999,374.38999999999993,614.8259999999999,624.8259999999999,6,0
d,374.38999999999993,379.94999999999993,614.8259999999999,624.8259999999999,6,0
 ,379.94999999999993,382.7299999999999,614.8259999999999,624.8259999999999,6,0
 ,69.25,72.03,602.8739999999999,612.8739999999999,7,0
m,72.03,80.36,602.8739999999999,612.8739999999999,7,0
o,80.36,85.92,602.8739999999999,612.8739999999999,7,0
r,85.92,89.25,602.8739999999999,612.8739999999999,7,0
e,89.25,94.81,602.8739999999999,612.8739999999999,7,0
 ,94.81,97.59,602.8739999999999,612.8739999999999,7,0
t,97.59,100.37,602.8739999999999,612.8739999999999,7,0
e,100.37,105.93,602.8739999999999,612.8739999999999,7,0
x,105.93,110.93,602.8739999999999,612.8739999999999,7,0
t,110.93,113.71000000000001,602.8739999999999,612.8739999999999,7,0
.,113.71000000000001,116.49000000000001,602.8739999999999,612.8739999999999,7,0
 ,116.49000000000001,119.27000000000001,602.8739999999999,612.8739999999999,7,0
A,119.27000000000001,125.94000000000001,602.8739999999999,612.8739999999999,7,0
n,125.94000000000001,131.5,602.8739999999999,612.8739999999999,7,0
d,131.5,137.06,602.8739999999999,612.8739999999999,7,0
 ,137.06,139.84,602.8739999999999,612.8739999999999,7,0
m,139.84000000000003,148.17000000000004,602.8739999999999,612.8739999999999,7,0
o,148.17000000000002,153.73000000000002,602.8739999999999,612.8739999999999,7,0
r,153.73000000000002,157.06000000000003,602.8739999999999,612.8739999999999,7,0
e,157.06,162.62,602.8739999999999,612.8739999999999,7,0
 ,162.62,165.4,602.8739999999999,612.8739999999999,7,0
t,165.40000000000003,168.18000000000004,602.8739999999999,612.8739999999999,7,0
e,168.18,173.74,602.8739999999999,612.8739999999999,7,0
x,173.74,178.74,602.8739999999999,612.8739999999999,7,0
t,178.74,181.52,602.8739999999999,612.8739999999999,7,0
.,181.52000000000004,184.30000000000004,602.8739999999999,612.8739999999999,7,0
 ,184.3,187.08,602.8739999999999,612.8739999999999,7,0
A,187.08000000000004,193.75000000000003,602.8739999999999,612.8739999999999,7,0
n,193.75000000000003,199.31000000000003,602.8739999999999,612.8739999999999,7,0
d,199.31000000000003,204.87000000000003,602.8739999999999,612.8739999999999,7,0
 ,204.87000000000003,207.65000000000003,602.8739999999999,612.8739999999999,7,0
m,207.65000000000003,215.98000000000005,602.8739999999999,612.8739999999999,7,0
o,215.98000000000005,221.54000000000005,602.8739999999999,612.8739999999999,7,0
r,221.54000000000005,224.87000000000006,602.8739999999999,612.8739999999999,7,0
e,224.87000000000006,230.43000000000006,602.8739999999999,612.8739999999999,7,0
 ,230.43000000000006,233.21000000000006,602.8739999999999,612.8739999999999,7,0
t,233.21000000000006,235.99000000000007,602.8739999999999,612.8739999999999,7,0
e,235.99000000000007,241.55000000000007,602.8739999999999,612.8739999999999,7,0
x,241.55000000000007,246.55000000000007,602.8739999999999,612.8739999999999,7,0
t,246.55000000000007,249.33000000000007,602.8739999999999,612.8739999999999,7,0
.,249.33000000000007,252.11000000000007,602.8739999999999,612.8739999999999,7,0
 ,252.11000000000007,254.89000000000007,602.8739999999999,612.8739999999999,7,0
